epoch,lr-AdamW,step,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.001,0,,,,,,,,
0,,8,,,,,3.5194177627563477,4.398148059844971,23.070987701416016,29.7260799407959
0,,8,3.5612540245056152,1.3741086721420288,4.4908447265625,13.04111385345459,,,,
,0.001,9,,,,,,,,
1,,17,,,,,3.4097681045532227,13.425926208496094,41.12654495239258,59.567901611328125
1,,17,3.485316514968872,11.482491493225098,28.80024528503418,38.79924011230469,,,,
,0.001,18,,,,,,,,
2,,26,,,,,3.0972650051116943,33.391204833984375,56.34645080566406,65.14274597167969
2,,26,3.2845709323883057,30.470970153808594,54.182594299316406,66.95633697509766,,,,
,0.001,27,,,,,,,,
3,,35,,,,,2.546095371246338,35.41666793823242,95.71759033203125,97.85879516601562
3,,35,2.844970941543579,39.78544235229492,66.2899169921875,82.42218017578125,,,,
,0.001,36,,,,,,,,
4,,44,,,,,2.037234306335449,70.50540161132812,100.0,100.0
4,,44,2.264047861099243,48.46394348144531,84.1802978515625,95.16771697998047,,,,
,0.001,45,,,,,,,,
5,,53,,,,,1.6053249835968018,75.98379516601562,97.74305725097656,97.74305725097656
5,,53,1.7055476903915405,70.98738098144531,94.55118560791016,98.03094482421875,,,,
,0.001,54,,,,,,,,
6,,62,,,,,1.3069936037063599,86.80555725097656,97.85879516601562,100.0
6,,62,1.2861076593399048,81.79573822021484,96.71311950683594,98.84483337402344,,,,
,0.001,63,,,,,,,,
7,,71,,,,,1.1160836219787598,88.94676208496094,97.74305725097656,97.74305725097656
7,,71,0.9467587471008301,91.6489486694336,100.0,100.0,,,,
,0.001,72,,,,,,,,
8,,80,,,,,0.7158789038658142,95.48611450195312,100.0,100.0
8,,80,0.7549741864204407,92.0055923461914,100.0,100.0,,,,
,0.001,81,,,,,,,,
9,,89,,,,,0.6266370415687561,93.34490966796875,100.0,100.0
9,,89,0.5278275012969971,97.26193237304688,100.0,100.0,,,,
,0.001,90,,,,,,,,
10,,98,,,,,0.6458120346069336,86.80555725097656,100.0,100.0
10,,98,0.4228949248790741,95.42515563964844,100.0,100.0,,,,
,0.001,99,,,,,,,,
11,,107,,,,,0.5008468627929688,93.34490966796875,100.0,100.0
11,,107,0.31153178215026855,99.32545471191406,100.0,100.0,,,,
,0.001,108,,,,,,,,
12,,116,,,,,0.38860833644866943,93.34490966796875,97.74305725097656,100.0
12,,116,0.23182536661624908,100.0,100.0,100.0,,,,
,0.001,117,,,,,,,,
13,,125,,,,,0.37631669640541077,83.4683609008789,100.0,100.0
13,,125,0.1951724886894226,99.41358947753906,100.0,100.0,,,,
,0.001,126,,,,,,,,
14,,134,,,,,0.2796858847141266,93.34490966796875,100.0,100.0
14,,134,0.13228856027126312,100.0,100.0,100.0,,,,
,0.001,135,,,,,,,,
15,,143,,,,,0.2780095934867859,93.34490966796875,100.0,100.0
