epoch,lr-AdamW,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.001,0,,,,,,,,,,,,
0,,4,,,,,,,,,3.367601156234741,3.4482758045196533,10.344827651977539,17.241378784179688
0,,4,,,,,3.3818142414093018,1.9704433679580688,7.224958896636963,11.822660446166992,,,,
,0.001,5,,,,,,,,,,,,
1,,9,,,,,,,,,3.3675954341888428,3.4482758045196533,10.344827651977539,17.241378784179688
1,,9,,,,,3.3710224628448486,2.955665111541748,7.881773471832275,14.285714149475098,,,,
,0.001,10,,,,,,,,,,,,
2,,14,,,,,,,,,3.3673593997955322,3.4482758045196533,10.344827651977539,17.241378784179688
2,,14,,,,,3.369218349456787,3.284072160720825,9.688013076782227,15.106732368469238,,,,
,0.001,15,,,,,,,,,,,,
3,,19,,,,,,,,,3.3672189712524414,3.4482758045196533,10.344827651977539,18.10344886779785
3,,19,,,,,3.368852376937866,2.4630541801452637,9.195402145385742,15.270936012268066,,,,
,0.001,20,,,,,,,,,,,,
4,,24,,,,,,,,,3.367117404937744,3.4482758045196533,10.344827651977539,17.241378784179688
4,,24,,,,,3.3681328296661377,2.627257823944092,9.523809432983398,16.25615692138672,,,,
,0.001,25,,,,,,,,,,,,
5,,29,,,,,,,,,3.366328716278076,5.1724138259887695,12.068964004516602,14.655172348022461
5,,29,,,,,3.3676187992095947,3.6124794483184814,9.852216720581055,15.927750587463379,,,,
,0.001,30,,,,,,,,,,,,
6,,34,,,,,,,,,3.3604676723480225,3.4482758045196533,7.758620738983154,18.965517044067383
6,,34,,,,,3.36594557762146,5.911330223083496,11.98686408996582,18.226600646972656,,,,
,0.001,35,,,,,,,,,,,,
7,,39,,,,,,,,,3.270897626876831,4.310344696044922,15.517241477966309,24.137928009033203
7,,39,,,,,3.3442013263702393,4.269293785095215,12.151067733764648,23.481117248535156,,,,
,0.001,40,,,,,,,,,,,,
8,,44,,,,,,,,,3.149941921234131,6.896551609039307,19.827587127685547,33.620689392089844
8,,44,,,,,3.2066617012023926,4.597701072692871,15.76354694366455,26.600984573364258,,,,
,0.001,45,,,,,,,,,,,,
9,,49,,,,,,,,,3.001316547393799,6.034482002258301,19.827587127685547,33.620689392089844
9,,49,,,,,3.1189887523651123,6.7323479652404785,19.211822509765625,31.69129753112793,,,,
,0.001,50,,,,,,,,,,,,
10,,54,,,,,,,,,2.9162709712982178,7.758620738983154,26.724138259887695,38.7931022644043
10,,54,,,,,2.9794116020202637,5.911330223083496,21.839080810546875,34.482757568359375,,,,
,0.001,55,,,,,,,,,,,,
11,,59,,,,,,,,,2.854743719100952,12.068964004516602,35.344825744628906,48.275856018066406
11,,59,,,,,2.940673828125,7.881773471832275,23.316913604736328,35.96059036254883,,,,
,0.001,60,,,,,,,,,,,,
12,,64,,,,,,,,,2.8066842555999756,12.068964004516602,29.310344696044922,48.275856018066406
12,,64,,,,,2.8312933444976807,9.688013076782227,27.750410079956055,45.977012634277344,,,,
,0.001,65,,,,,,,,,,,,
13,,69,,,,,,,,,2.695239782333374,6.896551609039307,34.482757568359375,53.44827651977539
13,,69,,,,,2.7564616203308105,8.866994857788086,29.392446517944336,42.52873611450195,,,,
,0.001,70,,,,,,,,,,,,
14,,74,,,,,,,,,2.6236112117767334,10.344827651977539,31.89655113220215,54.31034469604492
14,,74,,,,,2.709442138671875,10.344827651977539,32.34811019897461,49.425289154052734,,,,
,0.001,75,,,,,,,,,,,,
15,,79,,,,,,,,,2.622187614440918,14.655172348022461,36.2068977355957,57.75862121582031
15,,79,,,,,2.583298921585083,11.16584587097168,32.676517486572266,55.008209228515625,,,,
,0.001,80,,,,,,,,,,,,
16,,84,,,,,,,,,2.55458402633667,7.758620738983154,31.034482955932617,53.44827651977539
16,,84,,,,,2.5715532302856445,10.180624008178711,32.676517486572266,55.33661651611328,,,,
,0.001,85,,,,,,,,,,,,
17,,89,,,,,,,,,2.4585700035095215,9.482758522033691,39.655174255371094,56.034481048583984
17,,89,,,,,2.4545159339904785,12.479475021362305,37.60262680053711,57.14285659790039,,,,
,0.001,90,,,,,,,,,,,,
18,,94,,,,,,,,,2.4146888256073,10.344827651977539,30.172412872314453,56.896549224853516
18,,94,,,,,2.3767001628875732,14.12151050567627,39.9014778137207,62.068965911865234,,,,
,0.001,95,,,,,,,,,,,,
19,,99,,,,,,,,,2.3116514682769775,15.517241477966309,48.275856018066406,68.10344696044922
19,,99,,,,,2.347421407699585,13.300492286682129,41.21510696411133,63.38259506225586,,,,
,0.001,100,,,,,,,,,,,,
20,,104,,,,,,,,,2.2870867252349854,12.068964004516602,42.24137878417969,64.6551742553711
20,,104,,,,,2.3075296878814697,13.957306861877441,44.991790771484375,66.5024642944336,,,,
,0.001,105,,,,,,,,,,,,
21,,109,,,,,,,,,2.5052330493927,12.068964004516602,36.2068977355957,55.17241287231445
21,,109,,,,,2.466820001602173,13.1362886428833,36.288997650146484,59.277503967285156,,,,
,0.001,110,,,,,,,,,,,,
22,,114,,,,,,,,,2.4518940448760986,14.655172348022461,36.2068977355957,59.482757568359375
22,,114,,,,,2.40557861328125,12.315271377563477,41.87192153930664,60.0985221862793,,,,
,0.001,115,,,,,,,,,,,,
23,,119,,,,,,,,,2.3341503143310547,13.793103218078613,42.24137878417969,62.068965911865234
23,,119,,,,,2.3930389881134033,13.300492286682129,40.39408874511719,59.11330032348633,,,,
,0.001,120,,,,,,,,,,,,
24,,124,,,,,,,,,2.351175546646118,13.793103218078613,45.68965530395508,63.7931022644043
24,,124,,,,,2.3284096717834473,13.793103218078613,41.87192153930664,63.54679870605469,,,,
,0.001,125,,,,,,,,,,,,
25,,129,,,,,,,,,2.2169389724731445,15.517241477966309,46.55172348022461,67.24137878417969
25,,129,,,,,2.2711851596832275,16.584564208984375,45.32019805908203,65.68144226074219,,,,
,0.001,130,,,,,,,,,,,,
26,,134,,,,,,,,,2.1841092109680176,18.10344886779785,50.86206817626953,68.96551513671875
26,,134,,,,,2.195573568344116,16.91297149658203,48.604270935058594,70.27914428710938,,,,
,0.001,135,,,,,,,,,,,,
27,,139,,,,,,,,,2.0944955348968506,27.586206436157227,59.482757568359375,74.13793182373047
27,,139,,,,,2.162631034851074,17.241378784179688,51.559932708740234,72.90640258789062,,,,
,0.001,140,,,,,,,,,,,,
28,,144,,,,,,,,,2.0262887477874756,21.55172348022461,51.72413635253906,73.27586364746094
28,,144,,,,,2.104625701904297,20.853858947753906,50.90311813354492,74.22003173828125,,,,
,0.001,145,,,,,,,,,,,,
29,,149,,,,,,,,,2.0454273223876953,18.965517044067383,51.72413635253906,76.72413635253906
29,,149,,,,,2.0383429527282715,21.839080810546875,55.17241287231445,75.69786834716797,,,,
,0.001,150,,,,,,,,,,,,
30,,154,,,,,,,,,1.9759787321090698,24.137928009033203,56.034481048583984,78.44827270507812
30,,154,,,,,2.0443813800811768,18.71921157836914,52.87356185913086,78.16091918945312,,,,
,0.001,155,,,,,,,,,,,,
31,,159,,,,,,,,,1.998149037361145,15.517241477966309,56.896549224853516,79.31034851074219
31,,159,,,,,1.9865672588348389,22.824302673339844,56.650245666503906,80.29556274414062,,,,
,0.001,160,,,,,,,,,,,,
32,,164,,,,,,,,,2.023998498916626,20.689655303955078,53.44827651977539,78.44827270507812
32,,164,,,,,1.990797996520996,20.52545166015625,57.7996711730957,83.25122833251953,,,,
,0.001,165,,,,,,,,,,,,
33,,169,,,,,,,,,1.930246114730835,19.827587127685547,68.10344696044922,83.62068939208984
33,,169,,,,,2.0578999519348145,18.226600646972656,50.24630355834961,78.16091918945312,,,,
,0.001,170,,,,,,,,,,,,
34,,174,,,,,,,,,2.0520801544189453,21.55172348022461,55.17241287231445,75.0
34,,174,,,,,1.9651052951812744,20.032840728759766,56.97865295410156,81.60919189453125,,,,
,0.001,175,,,,,,,,,,,,
35,,179,,,,,,,,,1.8259382247924805,26.724138259887695,65.51724243164062,89.6551742553711
35,,179,,,,,1.9488804340362549,21.674877166748047,60.59113311767578,81.9375991821289,,,,
,0.001,180,,,,,,,,,,,,
36,,184,,,,,,,,,1.8192431926727295,31.89655113220215,66.37931060791016,86.20689392089844
36,,184,,,,,1.8764983415603638,22.495895385742188,60.59113311767578,84.4006576538086,,,,
,0.001,185,,,,,,,,,,,,
37,,189,,,,,,,,,1.7986133098602295,28.448274612426758,62.931034088134766,86.20689392089844
37,,189,,,,,1.8003751039505005,27.586206436157227,65.18883514404297,85.71428680419922,,,,
,0.001,190,,,,,,,,,,,,
38,,194,,,,,,,,,1.6689730882644653,31.89655113220215,74.13793182373047,89.6551742553711
38,,194,,,,,1.7216161489486694,28.89983558654785,67.48768615722656,88.99835968017578,,,,
,0.001,195,,,,,,,,,,,,
39,,199,,,,,,,,,1.6675610542297363,31.034482955932617,71.55171203613281,87.93103790283203
39,,199,,,,,1.62824285030365,33.16912841796875,70.27914428710938,90.64039611816406,,,,
40,,200,,,,,,,,,1.6675610542297363,31.034482955932617,71.55171203613281,87.93103790283203
40,,200,1.7553949356079102,29.65517234802246,63.44827651977539,84.13793182373047,,,,,,,,
